parameter_id,version,calculation_method,parameter_name,value,currency,valid_from,valid_to,source_path,source_sha256,source_url,source_locator,source_assurance
irf_abatement_2018,v2018,irf_progressive,abatement_percent,50,XOF,2018-01-01,,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 125,auto_validated_official_extract_no_external_fiscal_review
irf_first_limit_2018,v2018,irf_progressive,first_band_limit,100000,XOF,2018-01-01,,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 126,auto_validated_official_extract_no_external_fiscal_review
irf_first_rate_2018,v2018,irf_progressive,first_band_rate_percent,18,XOF,2018-01-01,,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 126,auto_validated_official_extract_no_external_fiscal_review
irf_excess_rate_2018,v2018,irf_progressive,excess_rate_percent,25,XOF,2018-01-01,,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 126,auto_validated_official_extract_no_external_fiscal_review
