policy_id,version,jurisdiction,regime,event_fact,event_value,event_date_fact,valid_from,valid_to,activation_status,source_path,source_sha256,source_url,source_locator,notes
resident-payment-event-v1,v1,BF,resident,payment_status,paid,payment_date,2018-01-01,,active_provisional,docs/source-corpus/fiscal/bf-ras-residents.md,9f02ad8bfba8ee0d70ada85d226f4fda4696eeb97e2fb0082d1d4c842162efdc,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 208,Sommes versees et paiements effectues
nonresident-payment-event-v1,v1,BF,nonresident,payment_status,put_in_payment,payment_date,2018-01-01,,active_provisional,docs/source-corpus/fiscal/bf-ras-non-residents.md,66ef85ca21597d4ef891782f4c09b622360732cd648c7920d3941eadbb90fe86,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 210 et 214,Sommes versees et sommes mises en paiement
rent-accrual-event-v1,v1,BF,rent,rent_accrual_status,accrued,tax_period_end_date,2018-01-01,,active_provisional,docs/source-corpus/fiscal/bf-loyers.md,d71bc6b8b6d09f446cc8b001b347218db1505d82ae54b9cfd78711fc46f192db,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 125 et 215 a 218,Loyer acquis pour la periode et periodicite du reglement
