account_number,debit_line_count,credit_line_count,unknown_line_count,source_sha256
44531001,0,119,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
44531002,0,104,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
44585100,0,203,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
51200500,0,151,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
51201000,84,0,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
61312000,129,0,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
61361600,78,0,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
61365000,227,0,0,d3602164d273d91ba57b30847eed2c16ba3c5d55527b3787cef1b9493a58b784
